year,region,population,life_expectancy,child_mortality,babies_per_woman,income_per_person
1967,americas,482461854,64.53916697,99.66,4.2,5991.9393
1968,americas,491919518,64.57265469,98.11,4.11,6185.089675
1969,americas,501393514,64.82898331,96.02,4.06,6309.177755
1970,americas,511208538,64.9714462,93.42,4.02,6305.794395
1971,americas,521276217,65.72501851,92.17,3.88,6450.56563
1972,americas,531119928,65.90877201,91.35,3.72,6707.499149
1973,americas,540758661,66.23851824,89.59,3.61,7020.680213
1974,americas,550417768,66.73980795,87.04,3.53,7024.073417
1975,americas,560138936,67.29931705,84.57,3.46,6986.919892
1976,americas,569901195,67.54127807,81.81,3.4,7270.021061
1977,americas,579811566,68.11606822,78.47,3.36,7506.480732
1978,americas,589889939,68.60217067,75.62,3.3,7801.80283
1979,americas,600106619,68.88841939,72.15,3.26,8038.354676
1980,americas,610535410,69.12241274,68.84,3.21,8094.661544
1981,americas,621055146,69.38828487,65.84,3.16,8157.368182
1982,americas,631639766,69.84366168,62.77,3.11,7921.377762
1983,americas,642362965,70.01359242,60.08,3.05,7998.693514
1984,americas,653123764,70.23332084,57.32,3,8395.047325
1985,americas,663858536,70.3086872,54.56,2.95,8608.646848
1986,americas,674529061,70.7618252,52.17,2.9,8789.676447
1987,americas,685190186,71.03151842,49.76,2.86,8963.342423
1988,americas,695965823,71.28867469,47.36,2.83,9120.134247
1989,americas,706849753,71.62083553,44.95,2.81,9263.703692
1990,americas,718162182,71.98907691,42.66,2.79,9253.528117
1991,americas,729765731,72.25335008,40.74,2.75,9197.815031
1992,americas,741328691,72.49943441,38.85,2.7,9382.149352
1993,americas,752727619,72.57237308,37.02,2.65,9582.202852
1994,americas,763847595,72.79376407,35.2,2.61,9907.042126
1995,americas,774831212,73.00129605,33.44,2.56,10023.91843
1996,americas,785671662,73.33422459,31.72,2.52,10299.25887
1997,americas,796391554,73.71998122,30.07,2.48,10684.73341
1998,americas,807145652,73.85929605,28.7,2.45,11008.50981
1999,americas,817841923,74.05392947,27.05,2.42,11297.17997
2000,americas,828364943,74.4404548,25.35,2.39,11651.38445
2001,americas,838775000,74.63558735,24.09,2.34,11659.6683
2002,americas,849010912,74.73668561,22.9,2.3,11749.40126
2003,americas,859076805,74.94530728,21.72,2.27,11987.68871
2004,americas,869053870,75.25582607,20.67,2.24,12409.85301
2005,americas,879009623,75.49458452,19.72,2.22,12773.77794
2006,americas,888982972,75.742575,18.77,2.21,13132.9276
2007,americas,899038842,75.9807362,17.97,2.19,13438.18783
2008,americas,909101619,76.09665479,17.32,2.16,13519.9137
2009,americas,919031235,76.1767624,16.78,2.12,13094.64792
2010,americas,928815608,76.09602011,18.56,2.08,13521.59177
2011,americas,938572649,76.56688447,15.79,2.06,13775.99328
2012,americas,948309464,76.72454235,15.29,2.03,13995.13306
2013,americas,957963346,76.81835471,14.72,2.01,14218.92894
2014,americas,967516921,76.94285204,14.34,2,14421.32515
2015,americas,976920364,77.00275315,14.05,1.97,14607.20136
2016,americas,986286631,76.97347747,14.09,1.93,14665.34127
2017,americas,995516763,77.13864478,13.46,1.89,14906.0898
2018,americas,1004357092,77.21743927,13.04,1.87,15199.1549
2019,americas,1012758739,77.2969369,12.8,1.83,15417.56147
2020,americas,1019345598,75.42355191,12.54,1.76,14713.74639
2021,americas,1024116808,74.78649611,12.27,1.75,15572.6589
2022,americas,1029780594,76.16320172,11.99,1.75,15926.70777
2023,americas,1036729172,77.95668592,11.7,1.72,16239.37583
2024,americas,1043693262,78.20011819,11.4,1.71,16554.20327
2025,americas,1050353521,78.37366153,11.08,1.7,16832.43237
2026,americas,1056711357,78.54833326,10.76,1.7,17128.00809
2027,americas,1062839309,78.72530777,10.43,1.69,17472.59636
2028,americas,1068804396,78.89816341,10.11,1.69,17865.38346
2029,americas,1074590560,79.07251953,9.79,1.68,18316.44455
2030,americas,1080192094,79.24162446,9.49,1.68,18312.53009
2031,americas,1085629893,79.41393481,9.21,1.67,18518.51041
2032,americas,1090897553,79.58624553,8.94,1.67,18726.38113
2033,americas,1095988168,79.75300882,8.68,1.67,18935.80921
2034,americas,1100920873,79.92600111,8.45,1.67,19147.17897
2035,americas,1105679063,80.0925961,8.23,1.66,19360.16153
2036,americas,1110240607,80.26176403,8.03,1.66,19574.21341
2037,americas,1114621465,80.42927767,7.83,1.66,19789.78062
2038,americas,1118827275,80.59554441,7.65,1.66,20006.67443
2039,americas,1122823249,80.76116885,7.47,1.66,20224.27767
2040,americas,1126591349,80.92673646,7.3,1.66,20442.56422
2041,americas,1130143882,81.09163105,7.12,1.66,20661.61088
2042,americas,1133495924,81.25610845,6.96,1.65,20881.97239
2043,americas,1136629391,81.41553132,6.8,1.65,21103.37007
2044,americas,1139517197,81.58028722,6.64,1.65,21325.23128
2045,americas,1142180874,81.73486349,6.49,1.65,21548.53863
2046,americas,1144614499,81.89708802,6.35,1.65,21773.68538
2047,americas,1146836900,82.05384187,6.2,1.65,22001.22577
2048,americas,1148855709,82.21530057,6.07,1.65,22231.5695
2049,americas,1150651446,82.37348289,5.94,1.64,22464.82314
2050,americas,1152262465,82.52531564,5.82,1.64,22701.77607
2051,americas,1153707209,82.6780973,5.7,1.64,22943.15334
2052,americas,1154969782,82.83210012,5.58,1.64,23188.9339
2053,americas,1156052189,82.98611741,5.47,1.64,23438.94696
2054,americas,1156940970,83.13422385,5.36,1.64,23692.59015
2055,americas,1157645450,83.28136881,5.26,1.64,23949.69333
2056,americas,1158206574,83.42817883,5.15,1.64,24211.32484
2057,americas,1158658812,83.57767634,5.05,1.64,24477.62189
2058,americas,1159028015,83.71740208,4.96,1.64,24748.3764
2059,americas,1159274479,83.86350625,4.86,1.64,25022.41929
2060,americas,1159360945,84.00723082,4.78,1.64,25298.04419
2061,americas,1159340046,84.14686873,4.69,1.64,25575.57117
2062,americas,1159233090,84.28746446,4.6,1.64,25854.93945
2063,americas,1159015832,84.42655007,4.52,1.64,26134.76819
2064,americas,1158674988,84.56502586,4.44,1.64,26414.17971
2065,americas,1158217501,84.70168679,4.36,1.64,26693.30392
2066,americas,1157668588,84.83842577,4.29,1.64,26971.96279
2067,americas,1157041338,84.96922684,4.21,1.64,27250.24005
2068,americas,1156307192,85.106425,4.14,1.64,27527.51961
2069,americas,1155461628,85.2405063,4.07,1.64,27803.11956
2070,americas,1154495186,85.37150625,4,1.64,28076.65877
2071,americas,1153417579,85.50265014,3.94,1.64,28348.21534
2072,americas,1152223783,85.63435598,3.87,1.64,28617.85997
2073,americas,1150891961,85.76190585,3.81,1.64,28885.86751
2074,americas,1149445405,85.89058045,3.75,1.64,29152.80823
2075,americas,1147917160,86.01655818,3.69,1.64,29419.5403
2076,americas,1146298159,86.14762916,3.64,1.64,29686.35584
2077,americas,1144534770,86.2734297,3.58,1.64,29951.69978
2078,americas,1142651295,86.40341318,3.52,1.64,30215.97559
2079,americas,1140651255,86.52223266,3.47,1.64,30480.10884
2080,americas,1138526852,86.64828876,3.42,1.64,30743.68573
2081,americas,1136360109,86.77489948,3.37,1.64,31008.08115
2082,americas,1134128722,86.90054967,3.31,1.64,31272.44403
2083,americas,1131793592,87.02241462,3.27,1.64,31534.94859
2084,americas,1129390135,87.14386443,3.22,1.64,31796.21777
2085,americas,1126881348,87.2686789,3.17,1.64,32055.05209
2086,americas,1124307176,87.39098797,3.13,1.64,32312.15054
2087,americas,1121710918,87.51171019,3.08,1.64,32568.29553
2088,americas,1119114350,87.63431787,3.03,1.64,32823.89109
2089,americas,1116490649,87.75339825,2.99,1.64,33077.95375
2090,americas,1113788579,87.87010617,2.95,1.64,33328.78274
2091,americas,1111066756,87.99581811,2.9,1.64,33578.11071
2092,americas,1108343186,88.11358241,2.86,1.64,33826.64789
2093,americas,1105585171,88.23347744,2.82,1.64,34073.78005
2094,americas,1102804328,88.35695594,2.79,1.64,34320.27656
2095,americas,1100004774,88.47331035,2.74,1.64,34565.96459
2096,americas,1097157450,88.59349345,2.7,1.64,34809.99354
2097,americas,1094294136,88.7166722,2.67,1.64,35053.30779
2098,americas,1091411644,88.8307898,2.63,1.64,35295.98944
2099,americas,1088499555,88.95059505,2.6,1.64,35538.11385
2100,americas,1085557313,89.06753642,2.59,1.64,35778.99004
1800,world,985083735,30.64173384,428,5.8,1223.979426
1801,world,988518009,30.71239357,427,5.8,1220.103082
1802,world,991993182,30.60051854,427,5.8,1219.758009
1803,world,995509576,30.27758926,426,5.8,1220.681647
1804,world,999067550,30.19749192,426,5.8,1228.628116
1805,world,1002667483,30.78082324,426,5.8,1224.69536
1806,world,1006309768,30.79082163,426,5.8,1222.974886
1807,world,1009994839,30.7398525,425,5.8,1221.622291
1808,world,1013723142,30.70976473,425,5.8,1221.047213
1809,world,1017495164,30.73240556,425,5.8,1219.555115
1810,world,1022935503,30.82089956,425,5.8,1219.246896
1811,world,1028432388,30.81299505,424,5.8,1211.048149
1812,world,1034582343,30.21499862,424,5.78,1201.842639
1813,world,1041401489,30.74975592,423,5.77,1213.038346
1814,world,1048392002,30.70779466,423,5.77,1220.989206
1815,world,1055558056,30.93836181,422,5.78,1221.339911
1816,world,1062904018,31.04793161,422,5.78,1209.483255
1817,world,1070434459,31.06061928,422,5.77,1203.029237
1818,world,1078154164,31.01719421,422,5.77,1213.818506
1819,world,1085762043,30.99394218,422,5.77,1217.342771
1820,world,1093244955,31.09323282,421,5.77,1230.492284
1821,world,1100353908,31.14353283,421,5.77,1237.285793
1822,world,1107285721,31.11587218,421,5.77,1236.630269
1823,world,1114556675,31.16153146,421,5.77,1240.268228
1824,world,1121928309,31.12142435,421,5.76,1249.120006
1825,world,1129402060,31.12819854,421,5.77,1247.268005
1826,world,1136978934,31.10294711,421,5.76,1247.529734
1827,world,1144660456,31.18839025,421,5.75,1251.70205
1828,world,1152448156,31.1226232,421,5.75,1250.040814
1829,world,1159787562,31.14646694,421,5.74,1252.291444
1830,world,1166675351,31.19238487,422,5.74,1255.828634
1831,world,1173107948,31.15521458,422,5.73,1260.963445
1832,world,1179053710,30.61928877,422,5.73,1272.473289
1833,world,1184508718,30.54548951,422,5.75,1278.134865
1834,world,1190024997,31.07835996,423,5.75,1281.645418
1835,world,1195603662,31.22339304,422,5.74,1295.031369
1836,world,1201245854,31.28229422,422,5.74,1298.668712
1837,world,1206952746,30.95268952,422,5.74,1300.691468
1838,world,1212725543,30.90613125,422,5.74,1306.837021
1839,world,1218426772,31.28948523,421,5.75,1307.052953
1840,world,1224058418,31.26941711,421,5.75,1318.091256
1841,world,1229625751,31.32834984,421,5.75,1320.18249
1842,world,1235130935,31.2926912,422,5.75,1316.096734
1843,world,1240576195,31.33467338,421,5.75,1322.865692
1844,world,1246102552,31.38476612,421,5.75,1339.736452
1845,world,1251711693,31.44763256,420,5.74,1344.074873
1846,world,1257405291,31.17273068,424,5.75,1342.439254
1847,world,1263185490,31.14676826,422,5.74,1351.309926
1848,world,1269054017,30.77692715,423,5.74,1358.778763
1849,world,1274142450,30.93376797,423,5.75,1366.738828
1850,world,1278456221,31.37631796,420,5.75,1372.758871
1851,world,1281435587,31.10409615,424,5.75,1387.564549
1852,world,1283645240,30.80918399,429,5.74,1410.343389
1853,world,1285093222,30.56274974,432,5.72,1422.214559
1854,world,1286652188,30.0517967,437,5.72,1438.801143
1855,world,1288323525,29.85152022,440,5.7,1440.00694
1856,world,1290108648,29.79534977,442,5.71,1463.030878
1857,world,1292009053,30.01575038,442,5.71,1477.627454
1858,world,1294026315,30.27736092,438,5.72,1487.073089
1859,world,1296418024,30.44212906,437,5.73,1495.847809
1860,world,1299177218,30.57194744,429,5.73,1519.865348
1861,world,1302306139,30.49052911,429,5.73,1513.322246
1862,world,1305796770,31.38564165,426,5.74,1526.435973
1863,world,1309637058,31.55771623,425,5.74,1563.206479
1864,world,1313559841,31.61981122,422,5.74,1579.980539
1865,world,1317558405,31.77784045,423,5.73,1577.992462
1866,world,1321632098,31.06841504,421,5.71,1585.902909
1867,world,1325788657,32.12688688,420,5.7,1593.69326
1868,world,1330026600,31.96247581,424,5.68,1620.756559
1869,world,1334846077,31.34453598,421,5.69,1637.27325
1870,world,1340260288,32.22858994,419,5.69,1643.121349
1871,world,1346187487,31.98671151,422,5.68,1655.57706
1872,world,1352784067,32.40155331,421,5.68,1683.918093
1873,world,1359956560,32.64011605,418,5.7,1698.195415
1874,world,1367199981,32.76558858,417,5.7,1719.716609
1875,world,1374542917,32.7200077,415,5.71,1740.323568
1876,world,1381965124,31.20630757,414,5.7,1733.567542
1877,world,1389436423,30.61916678,412,5.68,1748.942001
1878,world,1396973859,30.02173671,416,5.65,1762.818259
1879,world,1405040203,32.23785477,411,5.67,1776.199381
1880,world,1413675365,33.11151364,416,5.65,1832.271553
1881,world,1422901315,33.38035991,411,5.65,1855.734399
1882,world,1432720420,33.23129394,415,5.65,1888.003822
1883,world,1443125655,33.41771971,414,5.65,1904.113525
1884,world,1453662017,33.62356335,411,5.63,1912.013813
1885,world,1464387303,33.67613432,412,5.62,1919.104942
1886,world,1475219751,33.81052651,411,5.6,1926.647945
1887,world,1486208327,33.90414286,411,5.6,1977.847329
1888,world,1497325898,33.81565109,410,5.62,1992.677482
1889,world,1508217029,33.71139134,412,5.6,2016.210662
1890,world,1518897234,33.63589284,415,5.57,2043.113073
1891,world,1529316173,33.33705395,413,5.6,2027.614899
1892,world,1539487487,33.19478794,417,5.55,2090.264976
1893,world,1549414772,34.08530093,412,5.58,2097.195377
1894,world,1559480011,34.36504116,412,5.57,2137.205596
1895,world,1569696358,34.34808542,413,5.57,2179.274016
1896,world,1579999192,34.37001064,411,5.57,2181.000999
1897,world,1590448296,34.04563172,410,5.57,2250.491693
1898,world,1601022068,35.1698752,412,5.54,2304.712579
1899,world,1612252364,34.90339061,408,5.54,2346.486071
1900,world,1624107703,33.97828981,409,5.52,2368.500959
1901,world,1636583272,35.09629008,408,5.52,2417.43761
1902,world,1649710331,35.40260414,401,5.51,2448.265973
1903,world,1663483518,35.63710968,395,5.49,2485.342922
1904,world,1677432134,35.43608342,389,5.46,2494.324943
1905,world,1691560792,35.50157004,388,5.42,2525.344828
1906,world,1705875918,35.67864078,381,5.42,2611.573828
1907,world,1720398255,35.39769187,374,5.43,2616.309167
1908,world,1735131557,36.41520963,372,5.44,2566.792398
1909,world,1749280311,36.61666892,366,5.4,2676.928545
1910,world,1762840847,36.75292764,364,5.38,2692.716652
1911,world,1775738691,36.91389572,360,5.37,2724.560023
1912,world,1788143254,37.44642181,355,5.35,2789.896979
1913,world,1799957755,37.40762177,351,5.32,2838.901902
1914,world,1811966782,36.94875031,354,5.3,2704.760039
1915,world,1824173992,36.23150495,353,5.08,2709.559709
1916,world,1836522366,36.38424968,351,5.12,2811.2424
1917,world,1848986561,36.34830043,353,5.07,2733.643658
1918,world,1862155373,24.54464753,376,5.08,2671.565132
1919,world,1876069755,37.13124609,357,4.98,2661.688119
1920,world,1890751739,37.37602323,344,5.23,2649.679862
1921,world,1906083900,38.1655239,342,5.14,2644.851652
1922,world,1922074205,38.53252295,332,5.18,2772.925128
1923,world,1938750246,39.4819982,331,5.2,2852.066104
1924,world,1955702335,39.94630132,331,5.18,2964.190664
1925,world,1972916475,40.08731013,324,5.17,3057.984342
1926,world,1990404348,40.6353336,327,5.15,3133.393315
1927,world,2008163449,39.08453365,319,5.11,3187.6302
1928,world,2026209747,41.41021648,319,5.1,3255.382979
1929,world,2044958196,40.53694096,320,5.06,3341.075347
1930,world,2064454090,42.15697377,316,5.04,3207.402483
1931,world,2084705401,42.38754945,314,4.99,3065.149873
1932,world,2105697340,42.4830126,307,4.95,2910.199902
1933,world,2127386777,41.60184952,305,4.86,2898.11316
1934,world,2149351915,43.68519838,307,4.84,2998.564879
1935,world,2171601414,44.30338564,295,4.87,3148.379747
1936,world,2194230902,44.68069426,291,4.87,3295.113072
1937,world,2217226438,44.27283815,288,4.88,3423.376971
1938,world,2240632316,44.72717414,287,4.87,3395.42068
1939,world,2262963926,45.12391088,280,4.85,3513.683572
1940,world,2284199131,44.86924764,279,4.84,3549.577582
1941,world,2304364035,43.31245661,278,4.83,3669.842121
1942,world,2323438259,42.01618061,279,4.74,3724.362047
1943,world,2341257167,40.29676145,277,4.69,3789.277091
1944,world,2358978018,42.03443325,274,4.66,3800.166685
1945,world,2377034198,43.63211662,267,4.6,3525.722016
1946,world,2395728530,48.26962713,258,4.79,3377.449191
1947,world,2415389220,48.15296023,255,4.91,3444.188949
1948,world,2435843977,50.86374698,249,4.81,3633.745493
1949,world,2461763063,51.8807507,249,4.97,3714.247534
1950,world,2493092848,53.10404324,247,4.87,3903.490586
1951,world,2536927035,53.53217437,243,4.87,4089.980274
1952,world,2584086339,54.27102686,239,5.06,4203.204347
1953,world,2634106235,54.78082397,233,4.99,4354.487205
1954,world,2685894860,55.25063632,228,5.08,4396.077541
1955,world,2740213792,55.65587562,223,5.09,4594.767345
1956,world,2795409994,55.96837099,213,5.01,4717.140874
1957,world,2852618337,56.16594646,205,5.16,4802.774418
1958,world,2911249671,55.138392,197,5.01,4840.146229
1959,world,2965950351,53.60477906,199,4.79,4979.926828
1960,world,3015470894,50.94157561,202,4.74,5169.781877
1961,world,3064869675,54.06443155,188,4.61,5310.689912
1962,world,3123374315,56.95437196,170,5.11,5503.893347
1963,world,3192807828,58.02638951,162,5.42,5673.351969
1964,world,3264487339,58.45990531,157,5.21,5937.312108
1965,world,3334533703,58.45717075,151,5.17,6149.024202
1966,world,3404041125,58.79235756,151,5.08,6368.488838
1967,world,3473412880,59.0176931,153,4.95,6515.403663
1968,world,3545187251,59.40791389,150,5.08,6771.06896
1969,world,3619491579,59.68241153,146,4.98,7033.51555
1970,world,3694683794,59.9164079,142,4.94,7249.878216
1971,world,3769847865,60.29643984,139,4.78,7445.02403
1972,world,3844917680,60.72059075,137,4.64,7689.361167
1973,world,3920805042,61.16074352,135,4.5,8051.611629
1974,world,3996416096,61.4715474,133,4.34,8133.518657
1975,world,4070735277,61.7597923,131,4.15,8143.672077
1976,world,4144246377,61.96657006,128,4.04,8409.622286
1977,world,4217863796,62.48338336,126,3.92,8620.804481
1978,world,4292097502,62.86470568,123,3.85,8849.574246
1979,world,4368539528,63.23985046,119,3.84,9044.707051
1980,world,4447606236,63.54051242,118,3.82,9113.884936
1981,world,4528777306,63.81593128,113,3.79,9138.929613
1982,world,4612673421,64.17758162,111,3.8,9080.835165
1983,world,4697327573,64.39567557,107,3.68,9188.891629
1984,world,4782175519,64.63180569,105,3.66,9436.416668
1985,world,4868943465,64.94610266,102,3.62,9610.092852
1986,world,4958072838,65.36237364,100,3.6,9781.60667
1987,world,5049746397,65.6315972,98,3.57,9979.379502
1988,world,5141992542,65.84645274,96,3.48,10243.40514
1989,world,5234431732,66.09524273,95,3.43,10435.66603
1990,world,5327803110,66.32997713,93,3.39,10501.74241
1991,world,5418735891,66.46778716,92,3.21,10472.87425
1992,world,5505989816,66.6626315,91,3.13,10497.52711
1993,world,5591544797,66.7855195,90,3.06,10542.003
1994,world,5675551255,66.92090696,89,3,10714.01216
1995,world,5758878982,67.15071296,87,2.95,10930.92218
1996,world,5842055734,67.40731479,85,2.9,11209.61412
1997,world,5924787816,67.61022841,83,2.87,11512.80183
1998,world,6007066690,67.79633028,81,2.83,11660.46512
1999,world,6089006339,67.96391537,79,2.81,11942.63181
2000,world,6171702993,68.20173931,76,2.81,12379.94647
2001,world,6254936459,68.45980775,74,2.77,12548.04474
2002,world,6337730342,68.68251592,71,2.74,12765.43792
2003,world,6420361634,68.96490749,68,2.71,13104.41233
2004,world,6503377772,69.23311088,66,2.7,13632.78508
2005,world,6586970132,69.55131761,63,2.68,14107.44768
2006,world,6671452015,69.94641594,60,2.67,14676.21858
2007,world,6757308781,70.30184567,58,2.67,15268.16042
2008,world,6844457662,70.49611759,56,2.66,15518.69569
2009,world,6932766416,70.92210492,53,2.65,15238.0574
2010,world,7021732148,71.18678143,51,2.62,15838.78265
2011,world,7110923765,71.53452276,49,2.6,16275.13538
2012,world,7201202485,71.85943344,47,2.61,16589.81381
2013,world,7291793585,72.14474336,45,2.56,16923.83549
2014,world,7381616244,72.42844865,44,2.55,17291.19981
2015,world,7470491872,72.67599905,42,2.52,17666.83607
2016,world,7558554526,72.93848713,41,2.51,18039.81716
2017,world,7645617954,73.20822701,40,2.48,18522.26152
2018,world,7729902781,73.40736113,39,2.4,18991.59865
2019,world,7811293698,73.60753697,38,2.36,19343.06637
2020,world,7887001292,72.77940857,37,2.27,18600.89112
2021,world,7954448391,71.89814941,36,2.24,19624.83957
2022,world,8021407192,72.55876099,35,2.2,20114.13596
2023,world,8091734930,74.0550394,35,2.18,20551.75085
2024,world,8161972572,74.36405883,34,2.17,20941.44448
2025,world,8231613070,74.52363411,33,2.16,21362.45462
2026,world,8300678395,74.67838232,33,2.15,21786.30187
2027,world,8369094344,74.83263173,32,2.14,22297.9084
2028,world,8436618886,74.98283852,31,2.13,22892.94512
2029,world,8503285323,75.13253894,31,2.12,23571.3368
2030,world,8569124911,75.28188748,30,2.11,23497.35452
2031,world,8634119333,75.42857927,30,2.11,23741.58298
2032,world,8698229812,75.57363451,29,2.1,23987.77007
2033,world,8761449081,75.7179071,29,2.09,24236.11218
2034,world,8823784909,75.86004159,28,2.08,24486.54456
2035,world,8885210181,75.99990817,27,2.07,24738.89891
2036,world,8945686614,76.13959577,27,2.06,24993.10623
2037,world,9005152624,76.27744433,26,2.05,25249.63584
2038,world,9063572926,76.41445714,26,2.04,25508.51138
2039,world,9120928380,76.54949348,25,2.04,25769.29674
2040,world,9177190203,76.68334626,25,2.03,26031.86581
2041,world,9232281575,76.81826047,25,2.02,26296.52189
2042,world,9286110371,76.95067171,24,2.02,26563.50926
2043,world,9338661314,77.08090655,24,2.01,26832.44031
2044,world,9389873693,77.21105,23,2,27102.90923
2045,world,9439639668,77.34117911,23,2,27374.97737
2046,world,9487889604,77.47108786,22,1.99,27648.47995
2047,world,9534545977,77.59593047,22,1.98,27923.27481
2048,world,9579536043,77.72134229,22,1.98,28199.35365
2049,world,9622824029,77.8462312,21,1.97,28476.36551
2050,world,9664378587,77.96865971,21,1.97,28754.5188
2051,world,9704192304,78.08972861,21,1.96,29033.95192
2052,world,9742264515,78.21127241,20,1.96,29314.13197
2053,world,9778614614,78.33181612,20,1.95,29595.02106
2054,world,9813251659,78.45136107,20,1.95,29876.56484
2055,world,9846237570,78.56928735,19,1.94,30158.70079
2056,world,9877680392,78.68483209,19,1.94,30441.68617
2057,world,9907637193,78.80323112,19,1.93,30726.15271
2058,world,9936164379,78.91929679,19,1.93,31012.40538
2059,world,9963337082,79.03434973,18,1.93,31299.95023
2060,world,9989232292,79.14995922,18,1.92,31588.80139
2061,world,10013916213,79.26329469,18,1.92,31879.65311
2062,world,10037466600,79.37749465,18,1.91,32172.66904
2063,world,10059950035,79.4919702,17,1.91,32467.90627
2064,world,10081402737,79.60405632,17,1.91,32765.08663
2065,world,10101849561,79.71844969,17,1.9,33064.15772
2066,world,10121317107,79.83131127,17,1.9,33365.87931
2067,world,10139808361,79.94312593,16,1.9,33670.38437
2068,world,10157301941,80.05529374,16,1.89,33977.22221
2069,world,10173782135,80.16739899,16,1.89,34286.41787
2070,world,10189241959,80.2783837,16,1.89,34597.81677
2071,world,10203681568,80.39244389,16,1.88,34911.47836
2072,world,10217055169,80.50294069,15,1.88,35227.32641
2073,world,10229327824,80.61561259,15,1.88,35544.95383
2074,world,10240485056,80.72703604,15,1.87,35864.54945
2075,world,10250496432,80.83872269,15,1.87,36186.60131
2076,world,10259351432,80.95058597,15,1.87,36510.95356
2077,world,10267045023,81.06277779,14,1.86,36836.71448
2078,world,10273556322,81.17414563,14,1.86,37164.20711
2079,world,10278887473,81.28402047,14,1.86,37493.40396
2080,world,10283078029,81.39473665,14,1.85,37824.03824
2081,world,10286161735,81.50478659,14,1.85,38157.10091
2082,world,10288205050,81.61534869,14,1.85,38492.09047
2083,world,10289247323,81.72765949,13,1.84,38828.47083
2084,world,10289315244,81.8379175,13,1.84,39166.46024
2085,world,10288456599,81.94869916,13,1.84,39505.73224
2086,world,10286708360,82.05989175,13,1.83,39847.02716
2087,world,10284111374,82.16978046,13,1.83,40190.77394
2088,world,10280704572,82.27897709,13,1.83,40536.86295
2089,world,10276518280,82.3904516,12,1.83,40884.8105
2090,world,10271565070,82.50078501,12,1.82,41234.126
2091,world,10265861714,82.61156104,12,1.82,41585.647
2092,world,10259408375,82.72188966,12,1.82,41939.40119
2093,world,10252184759,82.83403904,12,1.82,42294.79747
2094,world,10244185837,82.94659651,12,1.81,42651.93583
2095,world,10235403601,83.05887134,12,1.81,43010.68843
2096,world,10225850874,83.17047982,12,1.81,43370.5464
2097,world,10215549310,83.280416,11,1.81,43731.65978
2098,world,10204489862,83.39307992,11,1.8,44094.15144
2099,world,10192689066,83.50637838,11,1.8,44457.76507
2100,world,10180160751,83.61751129,11,1.8,44822.41475
